subj_idx,stim,rt,accuracy,response,trialno,stimulus,novelty,early,late
0,1,1.021,1,0,2,0,1,1,0
0,1,0.935,1,1,3,1,0,1,0
0,1,0.767,1,0,4,0,1,1,0
0,1,0.92,1,1,5,1,0,1,1
0,1,0.825,1,0,6,0,1,1,1
0,1,0.928,1,1,7,1,0,1,1
0,1,0.914,1,0,8,0,1,1,1
0,1,0.957,1,1,9,1,0,0,1
0,1,1.083,1,0,10,0,1,0,1
0,2,0.672,1,1,3,1,0,1,0
0,2,1.022,0,0,5,1,0,1,1
0,2,0.461,1,0,6,0,1,1,1
0,2,1.193,0,1,8,0,1,1,1
0,3,1.05,1,1,4,1,0,1,0
0,3,1.087,0,0,5,1,0,1,1
0,3,1.116,1,0,6,0,1,1,1
0,3,0.897,1,1,7,1,0,1,1
0,3,0.951,0,0,8,1,0,1,1
0,3,0.867,1,0,9,0,0,0,1
0,3,1.084,1,0,10,0,1,0,1
0,2,0.304,0,0,3,1,0,1,0
0,2,0.871,1,0,4,0,1,1,0
0,2,0.923,1,1,5,1,0,1,1
0,2,0.982,1,0,6,0,1,1,1
0,2,1.437,1,1,7,1,0,1,1
0,2,0.708,1,0,8,0,1,1,1
0,2,1.322,0,1,10,0,1,0,1
0,1,0.291,1,0,2,0,1,1,0
0,1,0.941,1,1,3,1,0,1,0
0,1,1.001,1,0,4,0,1,1,0
0,1,0.835,1,1,5,1,0,1,1
0,1,0.853,1,0,6,0,1,1,1
0,1,0.641,1,1,7,1,0,1,1
0,1,0.676,1,0,8,0,1,1,1
0,1,0.807,1,0,9,0,1,0,1
0,1,0.894,1,1,10,1,0,0,1
0,3,0.751,1,1,4,1,0,1,0
0,3,1.061,1,0,5,0,1,1,1
0,3,1.228,1,1,6,1,0,1,1
0,3,1.439,1,0,7,0,1,1,1
0,1,1.142,0,0,2,1,0,1,0
0,1,0.948,0,0,3,1,0,1,0
0,1,0.807,0,1,4,0,1,1,0
0,1,0.663,1,0,7,0,1,1,1
0,1,1.059,1,0,8,0,1,1,1
0,1,1.227,1,1,9,1,0,0,1
0,1,1.02,1,0,10,0,1,0,1
0,3,1.262,1,0,7,0,1,1,1
0,3,1.237,1,0,8,0,1,1,1
0,3,0.711,1,1,9,1,0,0,1
0,3,0.727,0,0,10,1,0,0,1
0,2,0.665,1,1,4,1,0,1,0
