"ID","Z_DGwin_SEM_striatum","Z_DGwin_BS_SD3min2_with_DA","Z_DGwin_TaskSD_avg_Yeo1_Vis_32change","Z_DGwin_TaskSD_avg_Yeo3_DAN_32change","Z_DGwin_TaskSD_avg_Yeo6_FPN_32change","Z_DGwin_TaskSD_avg_Yeo7_DMN_32change","Z_DGwin_PCAdimTEMP_BGHATMorel_32change","Z_DGwin_PCAdimTEMP_Yeo1_Vis_32change","Z_DGwin_PCAdimTEMP_Yeo3_DAN_32change","Z_DGwin_PCAdimTEMP_Yeo6_FPN_32change","Z_DGwin_PCAdimTEMP_Yeo7_DMN_32change","Z_DGwin_HDDMwBias_a_3min2back","Z_DGwin_HDDMwBias_v_3min2back","Z_DGwin_HDDMwBias_t_3min2back","Z_DGwin_HDDMwBias_z_3min2back","Z_DGwin_HDDMwBias_dc_3min2back","DGwin_TaskSD_avg_BGHATMorel_2back","DGwin_TaskSD_avg_BGHATMorel_3back","DGwin_TaskSD_avg_Yeo1_Vis_2back","DGwin_TaskSD_avg_Yeo1_Vis_3back","DGwin_TaskSD_avg_Yeo3_DAN_2back","DGwin_TaskSD_avg_Yeo3_DAN_3back","DGwin_TaskSD_avg_Yeo6_FPN_2back","DGwin_TaskSD_avg_Yeo6_FPN_3back","DGwin_TaskSD_avg_Yeo7_DMN_2back","DGwin_TaskSD_avg_Yeo7_DMN_3back","DGwin_PCAdimTEMP_BGHATMorel_2back","DGwin_PCAdimTEMP_BGHATMorel_3back","DGwin_PCAdimTEMP_Yeo1_Vis_2back","DGwin_PCAdimTEMP_Yeo1_Vis_3back","DGwin_PCAdimTEMP_Yeo3_DAN_2back","DGwin_PCAdimTEMP_Yeo3_DAN_3back","DGwin_PCAdimTEMP_Yeo6_FPN_2back","DGwin_PCAdimTEMP_Yeo6_FPN_3back","DGwin_PCAdimTEMP_Yeo7_DMN_2back","DGwin_PCAdimTEMP_Yeo7_DMN_3back","DGwin_HDDMwBias_a_2back","DGwin_HDDMwBias_a_3back","DGwin_HDDMwBias_v_2back","DGwin_HDDMwBias_v_3back","DGwin_HDDMwBias_t_2back","DGwin_HDDMwBias_t_3back","DGwin_HDDMwBias_z_2back","DGwin_HDDMwBias_z_3back","DGwin_HDDMwBias_dc_2back","DGwin_HDDMwBias_dc_3back","meanRT2","meanRT3","meanRT3min2","sdRT2","sdRT3","sdRT3min2","accuracy2","accuracy3","accuracy3min2","WAISscoren.o.correct","eduy","agewave1","WM","Speed"
1,-0.159091654313349,-0.028657189,0.34959111656812,-0.332445747491286,-0.249085804893154,-0.040221847747144,1.44768883699439,0.396373239036523,-0.227003053400633,-0.0865968056805348,-0.133056825182685,1.80051586946157,-0.968002830887206,-0.860190951895662,-0.8769403145725,-0.354099606195905,0.18,0.17,0.34,0.35,0.33,0.31,0.25,0.23,0.24,0.23,19,21,18,19,17,17,19,19,20,20,1.63,1.71,1.57,0.91,0.53,0.47,0.62,0.55,-0.49,-0.49,0.921,1.037,0.116,0.273648407994875,0.247627818183307,-0.0260205898115682,0.88135593220339,0.777777777777778,-0.103578154425612,35,9,67,52.46,56.54
3,-0.217502116766559,-0.062947154,-0.0215079336764558,-1.07160703712617,-0.981270653711958,-0.291470650112866,1.44768883699439,0.396373239036523,0.449555066538508,1.29895208520802,0.644813845116088,-1.24968320264879,0.294336306748358,1.9803629390927,-0.125841923428511,0.389586198992631,0.22,0.2,0.56,0.54,0.41,0.35,0.37,0.32,0.3,0.28,18,20,10,11,12,13,13,15,17,18,1.76,1.5,1.22,0.89,0.28,0.46,0.51,0.48,-0.3,-0.22,0.825,0.861,0.036,0.28159179166396,0.267926333566858,-0.0136654580971023,0.865671641791045,0.737704918032787,-0.127966723758258,36,14,67,53.45,47.17
6,-0.743196278845452,-0.04546167,-0.922748484270425,-0.93721407537437,-0.485274465802446,-1.24063279238337,-0.213056092991627,0.396373239036523,1.12611318647765,0.606177639763744,1.42268451541486,-0.97917625129955,-1.21061455703939,0.428799889393173,0.900659211134942,-0.354099606195905,0.22,0.21,0.63,0.56,0.44,0.38,0.37,0.34,0.38,0.33,20,20,8,9,10,10,13,14,15,17,1.63,1.4,1.73,0.99,0.53,0.58,0.58,0.59,-0.15,-0.15,0.887,0.869,-0.018,0.171367263014258,0.18770618014582,0.0163389171315618,0.901408450704225,0.75,-0.151408450704225,24,10,68,46.44,41.39
7,-0.100681191860139,-0.0033800437,0.31424834987816,0.227524926474533,0.530336776107508,0.601858424965255,-1.04342855798463,-0.406943192077497,-0.227003053400633,-0.779371251124813,-0.910927495481457,-0.382195393149511,-1.5934861873733,-0.609553843867278,0.0494143678384203,-1.52786876860191,0.2,0.2,0.55,0.56,0.36,0.36,0.32,0.34,0.31,0.32,21,20,14,14,16,16,19,18,20,19,1.58,1.43,1.59,0.77,0.46,0.41,0.55,0.52,-0.45,-0.57,0.8165,0.747,-0.0695,0.219521144583511,0.292260301128667,0.0727391565451564,0.885714285714286,0.683333333333333,-0.202380952380952,42,18,67,46.81,56.87
8,-0.567964891485821,0.19456798,0.667676016777756,0.877090908274882,2.44346492947277,2.58393231029484,-1.87380102297764,-0.406943192077497,-0.903561173339774,-1.47214569656909,-2.466668836079,1.27815761858029,0.828840265927381,-0.693099546543406,-0.501391119000505,1.59023557122472,0.25,0.31,0.5,0.52,0.4,0.43,0.43,0.46,0.4,0.47,20,18,14,14,16,15,17,15,18,15,1.45,1.48,1.35,1.16,0.41,0.37,0.63,0.59,-0.69,-0.47,0.746,0.74,-0.00600000000000001,0.208310972599528,0.236012122269013,0.0277011496694849,0.833333333333333,0.819672131147541,-0.0136612021857924,51,16,67,53.21,68.42
9,0.425012970218754,0.068872571,0.667676016777756,0.518709676936758,0.695668838744012,0.797274160138594,-1.04342855798463,-1.21025962319152,-0.227003053400633,-0.779371251124813,-0.910927495481457,0.615881979070087,1.06007956741618,0.357189287099349,0.224670659105351,-1.03506492179023,0.13,0.16,0.29,0.32,0.21,0.22,0.21,0.24,0.2,0.22,23,22,16,15,17,17,18,17,19,18,1.48,1.44,0.83,0.7,0.56,0.6,0.59,0.57,-0.23,-0.31,0.971,0.997,0.026,0.234328697120116,0.223912287304683,-0.0104164098154323,0.706896551724138,0.68421052631579,-0.0226860254083484,27,16,67,40,39.29
10,1.06752805720407,-0.091853432,-0.622334967405768,-1.04920821016753,-1.3355536450759,-0.877717855632882,0.617316372001379,0.396373239036523,0.449555066538508,0.606177639763744,0.644813845116088,1.16622370767715,1.67798130746001,-0.323111434691981,-1.40270918837329,2.45040228565966,0.22,0.19,0.46,0.41,0.43,0.37,0.39,0.33,0.32,0.28,19,20,12,13,13,14,15,16,16,17,1.46,1.48,2.03,1.9,0.43,0.41,0.69,0.6,-0.62,-0.28,0.689,0.643,-0.046,0.1605228814271,0.171010542759115,0.0104876613320146,0.916666666666667,0.968253968253968,0.0515873015873016,42,18,67,55.79,48.29
13,-1.38571136583076,-0.034716304,0.897404000262493,0.160328445598634,0.317766981289146,0.127277353830004,-0.213056092991627,-2.01357605430554,-0.903561173339774,-2.16492014201337,-0.133056825182685,-0.16765539725184,-1.62760346136345,0.202032982129397,-0.576500958114904,-0.0494572281668662,0.16,0.15,0.4,0.43,0.23,0.22,0.31,0.31,0.22,0.22,21,21,10,8,17,16,14,12,18,18,1.64,1.51,2.24,1.39,0.5,0.52,0.59,0.54,-0.36,-0.32,0.799,0.885,0.086,0.190751992745603,0.212487766347754,0.021735773602151,0.971830985915493,0.864406779661017,-0.107424206254476,48,10,68,58.47,47.73
14,1.59322221928296,0.013092577,0.29657696653318,0.429114369102227,-0.0365160100747918,0.294776555407151,-1.04342855798463,-0.406943192077497,-0.903561173339774,-0.0865968056805348,-0.910927495481457,-0.00908235680573602,0.764396526168208,0.166227680982484,0.80051275898241,0.308945569514356,0.15,0.15,0.44,0.44,0.27,0.28,0.26,0.25,0.23,0.23,22,21,11,11,13,12,14,14,17,16,1.67,1.55,1.19,0.99,0.46,0.49,0.51,0.51,-0.42,-0.34,0.947,0.9685,0.0215,0.297715232391788,0.265488401243762,-0.0322268311480263,0.838709677419355,0.796296296296296,-0.0424133811230586,33,12,67,55.51,58.32
15,-0.27591257921977,-0.013309328,0.650004633432776,0.182727272557267,0.105197186470783,0.238943488214769,-0.213056092991627,-1.21025962319152,-0.227003053400633,-0.779371251124813,-0.133056825182685,-0.428834522692482,-1.36603769410563,1.08523041041989,1.42642808493573,-1.25906667034099,0.19,0.19,0.5,0.52,0.32,0.31,0.31,0.31,0.27,0.27,19,19,10,9,14,14,16,15,17,17,1.65,1.49,1.89,1.11,0.36,0.46,0.56,0.59,-0.39,-0.48,0.66,0.8335,0.1735,0.235199460979427,0.273914609977858,0.0387151489984314,0.942028985507246,0.8,-0.142028985507246,43,14,67,51.89,62.99
16,-2.49551015244176,-0.080138601,-0.410278367266011,-0.310046920532653,-0.319942403165942,-0.486886385286204,0.617316372001379,0.396373239036523,-0.227003053400633,0.606177639763744,-0.133056825182685,-0.344884089515133,-1.32433880367322,-0.299241233927373,-0.62657418419117,0.0222233313693782,0.19,0.16,0.4,0.36,0.26,0.24,0.23,0.21,0.24,0.21,20,21,15,16,17,17,18,19,20,20,1.61,1.45,1.52,0.76,0.54,0.53,0.54,0.49,-0.36,-0.32,0.9365,0.945,0.00849999999999995,0.210933030640714,0.257785976439997,0.0468529457992828,0.867647058823529,0.68421052631579,-0.18343653250774,23,10,67,47.5,37.82
17,-2.49551015244176,-0.053988896,-0.852062950890506,-0.422041055325817,-0.792319724984525,-0.626469053267161,-1.04342855798463,1.19968967015054,1.12611318647765,-0.0865968056805348,-0.133056825182685,-0.158327571343246,-0.516896652572996,0.166227680982484,-0.977086766725032,-0.219698557065447,0.19,0.17,0.32,0.26,0.25,0.22,0.3,0.26,0.24,0.21,23,22,17,19,18,20,18,18,21,21,1.75,1.61,1.52,0.97,0.47,0.5,0.62,0.56,-0.29,-0.27,0.972,1.0265,0.0545,0.233711921028157,0.229186977376358,-0.00452494365179959,0.903225806451613,0.793103448275862,-0.110122358175751,24,15,67,49.09,41.61
